Nombre de Registro,Origen,ID,Nivel,Categoria de Tarea,Registrado,Equipo,Usuario,Mensaje,EventRecordID
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 18:42:18,CamiloMM,CAMILOMM\monsa,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  y APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  al usuario CamiloMM\monsa con SID (S-1-5-21-854866677-1834114146-3748758031-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID SpotifyAB.SpotifyMusic_1.255.235.0_x64__zpdnekdrzrea0 (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25937
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:39:55,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.,25936
System,Microsoft-Windows-Kernel-Power,105,Información,100,2025-01-21 18:38:46,CamiloMM,NT AUTHORITY\SYSTEM,Cambio de fuente de energía.,25935
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:37:33,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático.,25934
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:37:13,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.,25933
System,Microsoft-Windows-Kernel-General,16,Información,Ninguno,2025-01-21 18:36:39,CamiloMM,NT AUTHORITY\SYSTEM,El historial de accesos en el subárbol \??\C:\ProgramData\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\S-1-5-21-854866677-1834114146-3748758031-1001\SystemAppData\Helium\Cache\5cf8300210d73afd_COM15.dat se borró mediante la actualización de 1 claves y la creación de 1 páginas modificadas.,25932
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 18:36:33,CamiloMM,CAMILOMM\monsa,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  y APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  al usuario CamiloMM\monsa con SID (S-1-5-21-854866677-1834114146-3748758031-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25931
System,Microsoft-Windows-IsolatedUserMode,5,Información,Ninguno,2025-01-21 18:36:31,CamiloMM,CAMILOMM\monsa,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.,25930
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 18:36:28,CamiloMM,CAMILOMM\monsa,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  y APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  al usuario CamiloMM\monsa con SID (S-1-5-21-854866677-1834114146-3748758031-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID TheBrowserCompany.Arc_1.37.0.5788_x64__ttt1ap7aakyb4 (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25929
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:34:57,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático.,25928
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:34:33,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.,25927
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 18:34:25,CamiloMM,CAMILOMM\monsa,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  y APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  al usuario CamiloMM\monsa con SID (S-1-5-21-854866677-1834114146-3748758031-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25926
System,Microsoft-Windows-DNS-Client,1014,Advertencia,1014,2025-01-21 18:34:14,CamiloMM,NT AUTHORITY\NETWORK SERVICE,La resolución de nombres para el nombre mobile.events.data.microsoft.com agotó el tiempo de espera después de que ninguno de los servidores DNS configurados respondiera. PID de cliente 5864.,25925
System,Microsoft-Windows-DNS-Client,1014,Advertencia,1014,2025-01-21 18:34:12,CamiloMM,NT AUTHORITY\NETWORK SERVICE,La resolución de nombres para el nombre www.google.com agotó el tiempo de espera después de que ninguno de los servidores DNS configurados respondiera. PID de cliente 8832.,25924
System,Microsoft-Windows-DNS-Client,1014,Advertencia,1014,2025-01-21 18:34:11,CamiloMM,NT AUTHORITY\NETWORK SERVICE,La resolución de nombres para el nombre relay-f4ae83b1.net.anydesk.com agotó el tiempo de espera después de que ninguno de los servidores DNS configurados respondiera. PID de cliente 5344.,25923
System,Microsoft-Windows-DNS-Client,1014,Advertencia,1014,2025-01-21 18:34:11,CamiloMM,NT AUTHORITY\NETWORK SERVICE,La resolución de nombres para el nombre pub-ent-uswe-08-t.trouter.teams.microsoft.com agotó el tiempo de espera después de que ninguno de los servidores DNS configurados respondiera. PID de cliente 18476.,25922
System,Netwtw12,6062,Advertencia,Ninguno,2025-01-21 18:34:08,CamiloMM,,6062 - Lso was triggered,25921
System,Netwtw12,7021,Información,Ninguno,2025-01-21 18:34:07,CamiloMM,,7021 - Connection telemetry fields and analysis usage,25920
System,Netwtw12,6062,Advertencia,Ninguno,2025-01-21 18:33:08,CamiloMM,,6062 - Lso was triggered,25919
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:32:27,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático.,25918
System,Netwtw12,7003,Información,Ninguno,2025-01-21 18:32:17,CamiloMM,,7003 - Roam Complete,25917
System,Netwtw12,7021,Información,Ninguno,2025-01-21 18:32:17,CamiloMM,,7021 - Connection telemetry fields and analysis usage,25916
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:31:30,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.,25915
System,Microsoft-Windows-Kernel-Power,566,Información,268,2025-01-21 18:30:44,CamiloMM,NT AUTHORITY\SYSTEM,La sesión del sistema ha cambiado de 21 a 23.  Motivo InputAccelerometer   BootId: 46,25914
System,Microsoft-Windows-Kernel-Power,566,Información,268,2025-01-21 18:30:42,CamiloMM,NT AUTHORITY\SYSTEM,La sesión del sistema ha cambiado de 20 a 21.  Motivo SessionUnlock   BootId: 46,25913
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 18:29:47,CamiloMM,CAMILOMM\monsa,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  y APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  al usuario CamiloMM\monsa con SID (S-1-5-21-854866677-1834114146-3748758031-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID MSTeams_25007.606.3361.4724_x64__8wekyb3d8bbwe (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25912
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:29:25,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático.,25911
System,Netwtw12,6062,Advertencia,Ninguno,2025-01-21 18:29:06,CamiloMM,,6062 - Lso was triggered,25910
System,Netwtw12,7021,Información,Ninguno,2025-01-21 18:29:02,CamiloMM,,7021 - Connection telemetry fields and analysis usage,25909
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 18:29:01,CamiloMM,NT AUTHORITY\LOCAL SERVICE,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}  y APPID  {4839DDB7-58C2-48F5-8283-E1D1807D0D7D}  al usuario NT AUTHORITY\LOCAL SERVICE con SID (S-1-5-19) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25908
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 18:29:01,CamiloMM,NT AUTHORITY\LOCAL SERVICE,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}  y APPID  {4839DDB7-58C2-48F5-8283-E1D1807D0D7D}  al usuario NT AUTHORITY\LOCAL SERVICE con SID (S-1-5-19) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25907
System,Microsoft-Windows-Winlogon,7001,Información,1101,2025-01-21 18:29:00,CamiloMM,NT AUTHORITY\SYSTEM,Notificación de inicio de sesión de usuario para el Programa para la mejora de la experiencia del usuario,25906
System,BTHUSB,18,Información,Ninguno,2025-01-21 18:29:00,CamiloMM,,Windows no puede almacenar códigos de autenticación de Bluetooth (claves de vínculo) en el adaptador local. Puede que los teclados Bluetooth no funcionen en el BIOS del sistema durante el inicio.,25905
System,Microsoft-Windows-Power-Troubleshooter,1,Información,Ninguno,2025-01-21 18:29:00,CamiloMM,NT AUTHORITY\LOCAL SERVICE,El sistema estaba en un estado de baja energía y se reanudó.  Hora de suspensión: ‎2025‎-‎01‎-‎21T22:13:52.828810800Z Hora de reactivación: ‎2025‎-‎01‎-‎21T23:28:59.262037800Z  Origen de la reactivación: Unknown,25904
System,Microsoft-Windows-Kernel-Power,566,Información,268,2025-01-21 18:28:59,CamiloMM,NT AUTHORITY\SYSTEM,La sesión del sistema ha cambiado de 18 a 20.  Motivo Unknown   BootId: 46,25903
System,Microsoft-Windows-TPM-WMI,1038,Información,Ninguno,2025-01-21 18:28:59,CamiloMM,NT AUTHORITY\SYSTEM,Las comprobaciones de estado de la atestación previa confirman que se espera que el dispositivo supere la atestación.  Consulte C:\WINDOWS\Logs\MeasuredBoot\0000000229-0000000000.json para obtener información detallada sobre las comprobaciones realizadas.,25902
